transaction_id,buyer_id,MLS#,transaction_date,transaction_amount,buyer_agent_commission,seller_agent_commission,buyer_agent_id
85,291,5085,2023-07-07,2355000,70650,70650,218
86,300,5086,2023-11-12,1755000,52650,52650,923
87,305,5087,2022-01-29,1255000,37650,37650,824
88,309,5088,2023-01-09,55000,1650,1650,423
89,311,5089,2021-10-29,2255000,67650,67650,682
90,321,5090,2023-03-11,2005000,60150,60150,639
91,324,5091,2022-03-03,755000,22650,22650,718
92,328,5092,2021-12-07,4230000,126900,126900,540
93,329,5093,2023-10-01,2230000,66900,66900,499
94,332,5094,2022-03-12,4705000,141150,141150,419
95,334,5095,2021-08-23,2205000,66150,66150,357
96,338,5096,2023-09-08,3255000,97650,97650,287
97,341,5097,2024-01-14,1630000,48900,48900,648
98,350,5098,2023-07-30,3255000,97650,97650,331
99,352,5099,2023-10-04,2955000,88650,88650,492
100,355,5100,2023-09-26,3355000,100650,100650,935
101,358,5101,2021-10-29,555000,16650,16650,331
102,361,5102,2022-07-02,255000,7650,7650,406
103,366,5103,2023-03-02,2980000,89400,89400,859
104,368,5104,2021-11-10,1855000,55650,55650,908
105,369,5105,2022-08-07,3730000,111900,111900,447
106,370,5106,2021-11-20,430000,12900,12900,280
107,372,5107,2021-08-27,2605000,78150,78150,722
108,375,5108,2022-10-09,2680000,80400,80400,803
109,378,5109,2022-04-21,4330000,129900,129900,401
110,379,5110,2022-01-09,3805000,114150,114150,84
111,389,5111,2022-12-08,4780000,143400,143400,813
112,391,5112,2022-04-22,1130000,33900,33900,279
113,405,5113,2022-06-02,3430000,102900,102900,79
114,409,5114,2022-07-05,4430000,132900,132900,968
115,413,5115,2021-08-30,3405000,102150,102150,695
116,416,5116,2023-07-08,905000,27150,27150,360
117,422,5117,2023-10-25,380000,11400,11400,189
118,425,5118,2023-03-21,330000,9900,9900,837
119,427,5119,2021-12-07,4405000,132150,132150,417
120,434,5120,2021-09-29,680000,20400,20400,779
121,440,5121,2022-04-03,4780000,143400,143400,949
122,446,5122,2021-11-24,80000,2400,2400,277
123,447,5123,2023-10-29,4530000,135900,135900,245
124,463,5124,2022-10-26,705000,21150,21150,43
125,464,5125,2021-09-24,3605000,108150,108150,479
126,465,5126,2022-09-27,1655000,49650,49650,159
127,466,5127,2022-05-02,2705000,81150,81150,279
128,473,5128,2024-01-16,4555000,136650,136650,779
129,476,5129,2022-07-27,305000,9150,9150,181
130,482,5130,2022-04-18,2305000,69150,69150,837
131,486,5131,2023-05-10,1930000,57900,57900,346
132,494,5132,2024-02-29,2305000,69150,69150,451
133,497,5133,2023-10-09,1180000,35400,35400,392
134,502,5134,2021-12-19,1880000,56400,56400,109
135,503,5135,2023-05-08,2080000,62400,62400,160
136,504,5136,2023-01-03,2155000,64650,64650,92
137,506,5137,2022-05-13,1655000,49650,49650,818
138,508,5138,2023-03-06,1305000,39150,39150,753
139,510,5139,2023-11-02,1055000,31650,31650,956
140,515,5140,2024-01-24,955000,28650,28650,805
141,516,5141,2024-01-05,330000,9900,9900,104
142,519,5142,2023-03-03,3930000,117900,117900,128
143,520,5143,2024-02-15,3430000,102900,102900,163
144,523,5144,2022-08-18,2305000,69150,69150,416
145,528,5145,2021-09-03,1005000,30150,30150,110
146,533,5146,2023-02-09,230000,6900,6900,11
147,538,5147,2022-10-08,455000,13650,13650,42
148,540,5148,2023-07-07,2155000,64650,64650,770
149,541,5149,2022-12-08,1380000,41400,41400,556
150,545,5150,2023-05-04,4655000,139650,139650,572
151,547,5151,2024-03-22,455000,13650,13650,844
152,550,5152,2023-02-20,4480000,134400,134400,594
153,551,5153,2023-05-12,2130000,63900,63900,721
154,556,5154,2022-04-24,355000,10650,10650,930
155,575,5155,2022-11-04,1580000,47400,47400,117
156,578,5156,2021-08-29,3180000,95400,95400,331
157,579,5157,2022-05-30,1105000,33150,33150,528
158,584,5158,2022-01-19,1180000,35400,35400,961
159,586,5159,2022-09-23,2980000,89400,89400,352
160,593,5160,2023-08-12,3480000,104400,104400,841
161,594,5161,2022-08-24,4830000,144900,144900,775
162,596,5162,2023-02-19,4130000,123900,123900,306
163,600,5163,2023-03-20,1055000,31650,31650,870
164,605,5164,2021-12-06,3230000,96900,96900,715
165,613,5165,2022-06-28,2780000,83400,83400,233
166,614,5166,2022-04-01,4455000,133650,133650,922
167,615,5167,2023-04-23,3805000,114150,114150,750
168,616,5168,2023-09-30,2380000,71400,71400,146
169,623,5169,2023-04-24,4555000,136650,136650,998
170,627,5170,2021-09-24,655000,19650,19650,218
171,631,5171,2022-04-08,3180000,95400,95400,284
172,634,5172,2023-08-07,2380000,71400,71400,665
173,645,5173,2021-12-01,5030000,150900,150900,299
174,647,5174,2023-05-09,1030000,30900,30900,912
175,651,5175,2022-06-12,2080000,62400,62400,512
176,654,5176,2023-02-04,1105000,33150,33150,443
177,656,5177,2022-01-05,3380000,101400,101400,685
178,665,5178,2023-03-07,305000,9150,9150,916
179,671,5179,2022-07-10,4405000,132150,132150,839
180,675,5180,2021-08-07,655000,19650,19650,89
181,679,5181,2022-09-22,3830000,114900,114900,781
182,680,5182,2022-06-28,3505000,105150,105150,869
183,682,5183,2022-11-10,2305000,69150,69150,580
184,684,5184,2023-04-04,1080000,32400,32400,242
185,688,5185,2023-12-19,3055000,91650,91650,866
186,689,5186,2022-07-07,2130000,63900,63900,964
187,691,5187,2021-08-15,1730000,51900,51900,900
188,696,5188,2023-09-12,505000,15150,15150,372
189,697,5189,2022-10-30,3055000,91650,91650,427
190,698,5190,2023-04-06,4955000,148650,148650,532
191,702,5191,2022-04-09,4055000,121650,121650,786
192,707,5192,2021-08-01,2405000,72150,72150,14
193,709,5193,2024-02-18,1630000,48900,48900,42
194,711,5194,2023-01-08,4830000,144900,144900,19
195,712,5195,2022-07-27,1980000,59400,59400,216
196,713,5196,2021-10-18,2705000,81150,81150,65
197,714,5197,2022-03-14,3730000,111900,111900,712
198,715,5198,2023-12-11,505000,15150,15150,6
199,718,5199,2023-09-10,680000,20400,20400,571
200,719,5200,2024-02-21,4280000,128400,128400,663
201,730,5201,2022-08-29,380000,11400,11400,661
202,732,5202,2023-09-04,3780000,113400,113400,423
203,734,5203,2021-12-15,2105000,63150,63150,772
204,737,5204,2023-08-16,655000,19650,19650,637
205,742,5205,2021-09-17,1730000,51900,51900,677
206,749,5206,2022-12-05,4980000,149400,149400,77
207,753,5207,2021-10-27,4780000,143400,143400,787
208,755,5208,2023-08-30,2530000,75900,75900,547
209,758,5209,2022-04-27,2330000,69900,69900,767
210,761,5210,2024-01-16,180000,5400,5400,706
211,762,5211,2022-11-23,2730000,81900,81900,308
212,763,5212,2023-01-27,1530000,45900,45900,85
213,765,5213,2023-08-19,1855000,55650,55650,510
214,771,5214,2022-08-22,1730000,51900,51900,437
215,772,5215,2022-01-25,4905000,147150,147150,436
216,773,5216,2023-10-18,2180000,65400,65400,604
217,775,5217,2022-03-14,2930000,87900,87900,938
218,776,5218,2022-02-22,305000,9150,9150,467
219,777,5219,2024-01-20,1455000,43650,43650,761
220,780,5220,2022-03-08,4430000,132900,132900,425
221,783,5221,2023-09-12,2080000,62400,62400,326
222,784,5222,2023-05-10,4580000,137400,137400,296
223,785,5223,2022-01-22,4255000,127650,127650,948
224,786,5224,2023-07-19,3230000,96900,96900,563
225,787,5225,2022-09-17,930000,27900,27900,356
226,788,5226,2024-03-13,3030000,90900,90900,988
227,789,5227,2023-01-18,1430000,42900,42900,876
228,791,5228,2022-02-15,3080000,92400,92400,219
229,795,5229,2023-12-26,205000,6150,6150,857
230,800,5230,2022-06-09,1905000,57150,57150,383
231,802,5231,2022-02-15,3055000,91650,91650,29
232,803,5232,2024-03-18,955000,28650,28650,625
233,810,5233,2021-09-18,4830000,144900,144900,431
234,812,5234,2022-05-03,1680000,50400,50400,755
235,814,5235,2022-05-15,955000,28650,28650,11
236,815,5236,2023-07-23,3430000,102900,102900,470
237,816,5237,2022-10-05,3005000,90150,90150,843
238,817,5238,2023-01-13,4830000,144900,144900,63
239,819,5239,2023-03-27,305000,9150,9150,448
240,820,5240,2022-04-02,1955000,58650,58650,973
241,824,5241,2022-11-03,1030000,30900,30900,643
242,827,5242,2023-06-14,3605000,108150,108150,258
243,828,5243,2024-01-23,830000,24900,24900,560
244,835,5244,2023-04-14,4330000,129900,129900,634
245,841,5245,2023-09-11,3430000,102900,102900,617
246,844,5246,2023-06-15,2755000,82650,82650,39
247,845,5247,2023-06-10,2430000,72900,72900,24
248,846,5248,2021-09-25,1455000,43650,43650,761
249,847,5249,2022-10-09,2105000,63150,63150,310
250,848,5250,2022-05-23,930000,27900,27900,157
251,849,5251,2023-05-04,305000,9150,9150,234
252,852,5252,2021-11-02,4005000,120150,120150,687
253,854,5253,2022-10-31,1905000,57150,57150,781
254,856,5254,2021-07-27,355000,10650,10650,425
255,860,5255,2021-10-11,1205000,36150,36150,977
256,867,5256,2022-10-26,3355000,100650,100650,905
257,869,5257,2022-11-19,4530000,135900,135900,987
258,874,5258,2023-09-04,5030000,150900,150900,472
259,878,5259,2023-01-07,855000,25650,25650,563
260,880,5260,2023-01-17,1330000,39900,39900,569
261,896,5261,2022-05-20,4580000,137400,137400,865
262,897,5262,2023-12-07,4480000,134400,134400,969
263,900,5263,2022-10-29,1830000,54900,54900,480
264,901,5264,2021-09-30,3705000,111150,111150,880
265,905,5265,2021-09-28,3630000,108900,108900,799
266,906,5266,2022-05-05,880000,26400,26400,990
267,909,5267,2023-10-18,4330000,129900,129900,382
268,910,5268,2023-04-09,1680000,50400,50400,619
269,919,5269,2022-12-03,3855000,115650,115650,146
270,920,5270,2024-03-10,4155000,124650,124650,171
271,922,5271,2023-10-08,2405000,72150,72150,934
272,923,5272,2022-11-06,680000,20400,20400,489
273,928,5273,2023-06-11,705000,21150,21150,763
274,930,5274,2023-03-01,2680000,80400,80400,132
275,931,5275,2023-09-06,3330000,99900,99900,591
276,934,5276,2023-02-08,3430000,102900,102900,759
277,936,5277,2022-09-04,1355000,40650,40650,38
278,939,5278,2024-03-19,2980000,89400,89400,998
279,941,5279,2022-07-02,3405000,102150,102150,768
280,946,5280,2022-12-08,4430000,132900,132900,329
281,951,5281,2024-01-07,4580000,137400,137400,243
282,952,5282,2023-02-05,4180000,125400,125400,824
283,961,5283,2023-06-03,4930000,147900,147900,299
284,966,5284,2023-08-07,4755000,142650,142650,983
285,969,5285,2024-02-17,255000,7650,7650,768
286,971,5286,2022-12-29,4405000,132150,132150,405
287,972,5287,2023-12-10,3705000,111150,111150,495
288,973,5288,2021-09-07,3555000,106650,106650,334
289,980,5289,2023-06-12,1105000,33150,33150,622
290,981,5290,2021-10-20,1455000,43650,43650,609
291,984,5291,2022-05-06,1980000,59400,59400,650
292,985,5292,2022-03-06,680000,20400,20400,826
293,986,5293,2023-09-05,1805000,54150,54150,320
294,988,5294,2022-07-29,3730000,111900,111900,796
295,989,5295,2023-07-15,2505000,75150,75150,981
296,990,5296,2023-05-07,3130000,93900,93900,120
297,998,5297,2022-12-26,505000,15150,15150,757
298,1002,5298,2022-03-12,4555000,136650,136650,315
299,1007,5299,2023-01-06,2080000,62400,62400,729
300,1008,5300,2023-04-13,3505000,105150,105150,942
301,1010,5301,2022-07-01,280000,8400,8400,350
302,1012,5302,2023-12-08,3055000,91650,91650,656
303,1014,5303,2023-10-21,1755000,52650,52650,578
304,1015,5304,2023-09-08,255000,7650,7650,253
305,1016,5305,2022-08-31,2930000,87900,87900,120
306,1028,5306,2022-06-30,1230000,36900,36900,882
307,1030,5307,2023-04-27,1505000,45150,45150,449
308,1038,5308,2024-03-29,2705000,81150,81150,664
309,1046,5309,2023-09-05,655000,19650,19650,266
310,1047,5310,2023-12-16,3780000,113400,113400,842
311,1055,5311,2022-12-25,2905000,87150,87150,517
312,1057,5312,2023-02-25,3855000,115650,115650,782
313,1058,5313,2022-10-15,4205000,126150,126150,828
314,1063,5314,2023-01-25,4280000,128400,128400,457
315,1065,5315,2022-01-17,4330000,129900,129900,624
316,1070,5316,2023-08-29,2205000,66150,66150,679
317,1080,5317,2022-10-27,3605000,108150,108150,941
318,1081,5318,2022-05-06,4130000,123900,123900,161
319,1083,5319,2022-10-31,2530000,75900,75900,41
320,1084,5320,2022-11-24,4930000,147900,147900,776
321,1088,5321,2021-08-28,3005000,90150,90150,784
322,1089,5322,2023-12-08,1630000,48900,48900,652
323,1093,5323,2022-05-30,1830000,54900,54900,596
324,1094,5324,2023-11-27,755000,22650,22650,396
325,1096,5325,2023-10-31,105000,3150,3150,548
326,1098,5326,2023-03-09,3430000,102900,102900,477
327,1103,5327,2021-09-15,3980000,119400,119400,295
328,1105,5328,2023-09-18,4505000,135150,135150,268
329,1108,5329,2021-07-20,2905000,87150,87150,195
330,1110,5330,2024-01-07,1430000,42900,42900,439
331,1114,5331,2022-03-14,4505000,135150,135150,52
332,1117,5332,2024-01-15,1705000,51150,51150,24
333,1123,5333,2023-10-28,505000,15150,15150,203
334,1124,5334,2023-08-13,3130000,93900,93900,12
335,1125,5335,2022-09-13,880000,26400,26400,105
336,1126,5336,2022-08-13,605000,18150,18150,896
337,1129,5337,2021-07-16,330000,9900,9900,409
338,1131,5338,2023-10-01,2255000,67650,67650,700
339,1132,5339,2023-01-28,2180000,65400,65400,75
340,1133,5340,2021-08-06,4730000,141900,141900,415
341,1135,5341,2022-05-12,1230000,36900,36900,120
342,1137,5342,2022-02-04,1605000,48150,48150,161
343,1139,5343,2024-01-12,4430000,132900,132900,691
344,1140,5344,2023-05-18,3355000,100650,100650,928
345,1142,5345,2024-03-21,4855000,145650,145650,404
346,1144,5346,2024-03-23,455000,13650,13650,847
347,1149,5347,2023-11-05,2055000,61650,61650,95
348,1150,5348,2023-12-31,4905000,147150,147150,869
349,1151,5349,2023-05-19,3405000,102150,102150,447
350,1154,5350,2021-07-31,3530000,105900,105900,467
351,1159,5351,2021-12-21,4380000,131400,131400,489
352,1160,5352,2021-08-31,3930000,117900,117900,33
353,1161,5353,2023-03-27,4105000,123150,123150,748
354,1166,5354,2021-12-23,2980000,89400,89400,802
355,1167,5355,2024-03-19,2555000,76650,76650,443
356,1168,5356,2023-02-04,1730000,51900,51900,388
357,1169,5357,2023-05-25,3230000,96900,96900,543
358,1170,5358,2023-09-05,1080000,32400,32400,734
359,1176,5359,2023-02-16,4180000,125400,125400,263
360,1178,5360,2024-03-15,3180000,95400,95400,576
361,1181,5361,2022-06-07,1730000,51900,51900,227
362,1184,5362,2022-10-23,630000,18900,18900,287
363,1186,5363,2022-11-22,4605000,138150,138150,352
364,1195,5364,2021-07-19,4130000,123900,123900,825
365,1197,5365,2022-03-26,330000,9900,9900,687
366,1198,5366,2021-12-15,3580000,107400,107400,891
367,1201,5367,2023-04-20,4355000,130650,130650,200
368,1215,5368,2022-11-11,1805000,54150,54150,584
369,1216,5369,2022-08-22,3705000,111150,111150,958
370,1217,5370,2023-05-30,5005000,150150,150150,461
371,1219,5371,2021-09-08,4005000,120150,120150,491
372,1224,5372,2023-04-25,3105000,93150,93150,874
373,1231,5373,2023-11-17,2780000,83400,83400,349
374,1232,5374,2024-04-01,4480000,134400,134400,533
375,1239,5375,2022-04-02,1680000,50400,50400,119
376,1247,5376,2021-11-13,4630000,138900,138900,835
377,1249,5377,2023-03-23,855000,25650,25650,90
378,1250,5378,2023-07-13,1480000,44400,44400,359
379,1252,5379,2021-11-23,2530000,75900,75900,651
380,1255,5380,2022-07-15,1130000,33900,33900,796
381,1257,5381,2022-10-20,4380000,131400,131400,882
382,1260,5382,2021-08-24,1605000,48150,48150,688
383,1263,5383,2022-02-23,105000,3150,3150,974
384,1264,5384,2022-02-15,2655000,79650,79650,855
385,1266,5385,2021-08-11,4605000,138150,138150,276
386,1267,5386,2023-12-09,3955000,118650,118650,644
387,1268,5387,2022-11-11,5005000,150150,150150,149
388,1269,5388,2023-03-26,4830000,144900,144900,326
389,1275,5389,2022-04-26,4930000,147900,147900,112
390,1277,5390,2024-02-10,3030000,90900,90900,805
391,1278,5391,2023-05-17,1455000,43650,43650,853
392,1282,5392,2022-08-29,4180000,125400,125400,251
393,1285,5393,2023-11-04,2805000,84150,84150,411
394,1286,5394,2023-07-29,155000,4650,4650,610
395,1287,5395,2023-02-12,2655000,79650,79650,94
396,1288,5396,2022-04-24,130000,3900,3900,871
397,1291,5397,2022-07-21,1055000,31650,31650,226
398,1295,5398,2022-12-10,4030000,120900,120900,297
399,1296,5399,2023-11-06,2180000,65400,65400,574
400,1298,5400,2022-11-13,1905000,57150,57150,236
401,1302,5401,2023-06-21,1505000,45150,45150,203
402,1303,5402,2024-01-10,1830000,54900,54900,517
403,1305,5403,2021-12-07,1955000,58650,58650,818
404,1309,5404,2023-09-28,1155000,34650,34650,273
405,1312,5405,2021-07-29,1380000,41400,41400,653
406,1314,5406,2023-11-23,2480000,74400,74400,837
407,1317,5407,2023-09-25,2755000,82650,82650,70
408,1318,5408,2022-06-03,3530000,105900,105900,618
409,1320,5409,2023-02-22,1080000,32400,32400,291
410,1321,5410,2023-11-30,4005000,120150,120150,802
411,1324,5411,2023-09-19,830000,24900,24900,372
412,1331,5412,2021-09-17,1705000,51150,51150,949
413,1334,5413,2023-01-24,4505000,135150,135150,617
414,1339,5414,2023-03-05,4130000,123900,123900,883
415,1340,5415,2023-06-30,3480000,104400,104400,388
416,1341,5416,2022-10-31,2755000,82650,82650,507
417,1350,5417,2022-08-01,4730000,141900,141900,407
418,1354,5418,2023-03-09,180000,5400,5400,673
419,1355,5419,2022-12-09,3305000,99150,99150,262
420,1358,5420,2023-04-08,4530000,135900,135900,250
421,1360,5421,2023-09-20,55000,1650,1650,866
422,1362,5422,2023-09-10,630000,18900,18900,666
423,1363,5423,2022-04-17,405000,12150,12150,189
424,1364,5424,2023-07-17,180000,5400,5400,425
425,1365,5425,2023-03-25,1580000,47400,47400,769
426,1366,5426,2022-06-05,780000,23400,23400,219
427,1368,5427,2023-05-14,3630000,108900,108900,214
428,1369,5428,2021-11-11,4130000,123900,123900,562
429,1371,5429,2023-07-02,305000,9150,9150,961
430,1372,5430,2021-08-19,3230000,96900,96900,213
431,1378,5431,2022-10-15,5030000,150900,150900,291
432,1382,5432,2021-09-26,830000,24900,24900,827
433,1384,5433,2023-11-18,3180000,95400,95400,8
434,1388,5434,2021-12-15,1080000,32400,32400,745
435,1389,5435,2023-08-17,230000,6900,6900,314
436,1390,5436,2023-01-23,3580000,107400,107400,515
437,1392,5437,2022-10-23,430000,12900,12900,795
438,1393,5438,2024-03-15,3680000,110400,110400,669
439,1399,5439,2024-02-06,1030000,30900,30900,661
440,1401,5440,2021-10-07,4580000,137400,137400,570
441,1404,5441,2021-12-27,4330000,129900,129900,7
442,1405,5442,2024-02-08,4605000,138150,138150,907
443,1407,5443,2022-08-28,4055000,121650,121650,419
444,1412,5444,2022-10-02,2805000,84150,84150,608
445,1414,5445,2024-02-22,630000,18900,18900,548
446,1419,5446,2023-06-04,1955000,58650,58650,404
447,1420,5447,2022-03-24,280000,8400,8400,921
448,1421,5448,2022-02-14,1280000,38400,38400,41
449,1431,5449,2023-10-08,5005000,150150,150150,708
450,1434,5450,2021-10-06,4305000,129150,129150,393
451,1436,5451,2021-11-11,4580000,137400,137400,56
452,1443,5452,2024-04-02,480000,14400,14400,176
453,1445,5453,2024-03-16,2105000,63150,63150,139
454,1451,5454,2024-02-08,1655000,49650,49650,198
455,1452,5455,2021-09-21,4580000,137400,137400,301
456,1453,5456,2021-09-07,1580000,47400,47400,856
457,1455,5457,2021-09-27,480000,14400,14400,273
458,1458,5458,2024-01-05,2505000,75150,75150,380
459,1462,5459,2022-04-28,80000,2400,2400,907
460,1469,5460,2023-04-25,3355000,100650,100650,222
461,1470,5461,2023-11-07,4480000,134400,134400,710
462,1473,5462,2022-04-26,4930000,147900,147900,30
463,1478,5463,2022-01-05,2880000,86400,86400,935
464,1486,5464,2021-12-23,3630000,108900,108900,904
465,1488,5465,2023-09-16,1705000,51150,51150,348
466,1490,5466,2023-07-27,3355000,100650,100650,397
467,1491,5467,2021-09-24,5030000,150900,150900,959
468,1492,5468,2023-11-23,2905000,87150,87150,276
469,1495,5469,2021-12-25,2330000,69900,69900,438
470,1496,5470,2022-01-08,4530000,135900,135900,568
471,1499,5471,2023-07-25,2080000,62400,62400,59
472,1501,5472,2022-02-01,2405000,72150,72150,476
473,1506,5473,2022-09-21,955000,28650,28650,382
474,1510,5474,2022-03-10,1555000,46650,46650,457
475,1511,5475,2024-02-17,255000,7650,7650,771
476,1517,5476,2024-02-09,5030000,150900,150900,786
477,1519,5477,2022-03-31,380000,11400,11400,292
478,1522,5478,2023-06-06,630000,18900,18900,886
479,1531,5479,2023-10-18,2480000,74400,74400,746
480,1532,5480,2023-01-01,4005000,120150,120150,339
481,1535,5481,2022-12-22,3030000,90900,90900,971
482,1543,5482,2022-04-04,3230000,96900,96900,828
483,1548,5483,2024-01-20,1805000,54150,54150,903
484,1555,5484,2024-03-04,2555000,76650,76650,826
485,1562,5485,2023-10-03,4880000,146400,146400,322
486,1565,5486,2023-04-21,4855000,145650,145650,491
487,1566,5487,2024-03-12,3480000,104400,104400,622
488,1571,5488,2022-08-18,4055000,121650,121650,236
489,1573,5489,2022-09-13,2405000,72150,72150,803
490,1575,5490,2024-04-05,4655000,139650,139650,421
491,1576,5491,2023-02-01,3180000,95400,95400,269
492,1577,5492,2022-08-01,430000,12900,12900,42
493,1579,5493,2022-02-28,2930000,87900,87900,731
494,1581,5494,2024-01-18,4330000,129900,129900,782
495,1583,5495,2022-08-12,1280000,38400,38400,28
496,1584,5496,2022-01-18,3280000,98400,98400,310
497,1589,5497,2022-08-11,1755000,52650,52650,236
498,1590,5498,2024-03-13,1205000,36150,36150,846
499,1598,5499,2023-02-17,1455000,43650,43650,563
500,1600,5500,2022-02-16,1030000,30900,30900,229
501,1601,5501,2022-02-04,1455000,43650,43650,334
502,1611,5502,2021-10-21,2230000,66900,66900,329
503,1615,5503,2022-04-22,4555000,136650,136650,25
504,1622,5504,2022-03-27,3255000,97650,97650,189
505,1627,5505,2023-01-06,2480000,74400,74400,551
506,1628,5506,2024-02-06,2930000,87900,87900,695
507,1630,5507,2022-01-27,1830000,54900,54900,685
508,1633,5508,2023-09-16,3305000,99150,99150,374
509,1636,5509,2021-08-21,1730000,51900,51900,257
510,1637,5510,2021-12-21,4255000,127650,127650,471
511,1640,5511,2023-03-04,3205000,96150,96150,408
512,1646,5512,2023-05-06,4905000,147150,147150,564
513,1647,5513,2024-03-14,1080000,32400,32400,876
514,1652,5514,2023-03-03,1280000,38400,38400,31
515,1657,5515,2021-07-27,4755000,142650,142650,320
516,1660,5516,2021-12-18,2505000,75150,75150,472
517,1665,5517,2021-10-05,1530000,45900,45900,821
518,1666,5518,2023-08-12,2930000,87900,87900,552
519,1667,5519,2023-06-10,3330000,99900,99900,637
520,1671,5520,2021-12-18,280000,8400,8400,737
521,1675,5521,2024-03-05,1405000,42150,42150,61
522,1676,5522,2023-03-17,5005000,150150,150150,265
523,1680,5523,2022-08-28,2155000,64650,64650,386
524,1684,5524,2023-06-08,3205000,96150,96150,318
525,1687,5525,2022-05-10,1580000,47400,47400,912
526,1695,5526,2024-03-20,2980000,89400,89400,213
527,1699,5527,2022-05-10,4805000,144150,144150,598
528,1700,5528,2021-11-02,480000,14400,14400,300
